"ID"	"Surname"	"Given"	"IntlWW40"	"IntlWW50"	"IntlWW60"
"ICUS0277"	"Carr"	"David T."	NA	NA	NA
"ICUS0278"	"Carreras"	"Francisco J."	NA	NA	NA
"ICUS0279"	"Carrillo-Flores"	"Antonio"	NA	NA	NA
"ICUS0280"	"Carter"	"Robert Edgar"	NA	NA	NA
"ICUS0281"	"Caspari"	"Ernst Wolfgang"	NA	NA	NA
"ICUS0282"	"Cassel"	"Dieter"	NA	NA	NA
"ICUS0283"	"Cassidy"	"Harold Gomes"	NA	NA	NA
"ICUS0284"	"Castaneda"	"Hector-Neri"	NA	NA	NA
"ICUS0285"	"Castuera"	"Ignacio"	NA	NA	NA
"ICUS0286"	"Catterberg"	"Edgardo Raúl"	NA	NA	NA
"ICUS0287"	"Cavanaugh"	"Michael A."	NA	NA	NA
"ICUS0288"	"Caws"	"Peter J."	NA	NA	NA
"ICUS0289"	"Cernuschi"	"Félix"	NA	NA	NA
"ICUS0290"	"Chagas"	"Carlos"	"B1910-09-10"	"B1910-09-10"	"B1910-09-12"
"ICUS0291"	"Chain"	"Ernst Boris"	"B1906-06-19"	NA	NA
"ICUS0292"	"Chalmers"	"Alistair"	NA	NA	NA
"ICUS0293"	"Chance"	"Michael Robin Alexander"	NA	NA	NA
"ICUS0294"	"Chandrangarm"	"Saeng"	NA	NA	NA
"ICUS0295"	"Chandrasekhar"	"Bellur Sivaramiah"	NA	NA	NA
"ICUS0296"	"Chang"	"Byung-Kil"	NA	NA	NA
"ICUS0297"	"Chang"	"Ki-Kun"	NA	NA	NA
"ICUS0298"	"Chang"	"Sang-ho"	NA	NA	NA
"ICUS0299"	"Chao"	"Chin-Chi"	NA	NA	NA
"ICUS0300"	"Chappell"	"David Wellington"	NA	NA	NA
"ICUS0301"	"Chareonthaitewee"	"Pradit"	NA	NA	NA
"ICUS0302"	"Charles"	"Daniel Paul"	NA	NA	NA
"ICUS0303"	"Charon"	"Jean Émile"	NA	NA	NA
"ICUS0304"	"Châtel"	"Bertrand H."	NA	NA	NA
"ICUS0305"	"Chattergee"	"Margeret"	NA	NA	NA
"ICUS0306"	"Chaves"	"Eduardo Oscar de Campos"	NA	NA	NA
"ICUS0307"	"Checkland"	"Peter B."	NA	NA	NA
"ICUS0308"	"Cheek"	"John A."	NA	NA	NA
"ICUS0309"	"Cheek"	"Julia"	NA	NA	NA
"ICUS0310"	"Chen"	"Rolet Chih-Shih"	NA	NA	NA
"ICUS0311"	"Chen"	"Tsing-Fang"	NA	NA	NA
"ICUS0312"	"Cheng"	"Chung-Ying"	NA	NA	NA
"ICUS0313"	"Chin"	"Kyung Hee"	NA	NA	NA
"ICUS0314"	"Chitnis"	"Suma"	NA	NA	NA
"ICUS0315"	"Chiu"	"Hong-yee"	NA	NA	NA
"ICUS0316"	"Cho"	"Woo-Hyun"	NA	NA	NA
"ICUS0317"	"Choe"	"Yong-Tae"	NA	NA	NA
"ICUS0318"	"Choh"	"Soon-Tahk"	NA	NA	NA
"ICUS0319"	"Choi"	"Chang-Kyu"	NA	NA	NA
"ICUS0320"	"Choi"	"Kwang-Pil"	NA	NA	NA
"ICUS0321"	"Chomchai"	"Prachoom"	NA	NA	NA
"ICUS0322"	"Chou"	"Kyong-Chol"	NA	NA	NA
"ICUS0323"	"Chugthai"	"Muhammad Izazud Din"	NA	NA	NA
"ICUS0324"	"Chukbar"	"Konstantin V."	NA	NA	NA
"ICUS0325"	"Chuke"	"Paul Okwudili"	NA	NA	NA
"ICUS0326"	"Chun"	"Ok-Whan"	NA	NA	NA
"ICUS0327"	"Churchman"	"Charles West"	NA	NA	NA
"ICUS0328"	"Cicerone"	"Ralph John"	NA	NA	NA
"ICUS0329"	"Ciereszko"	"Leon Stanley"	NA	NA	NA
"ICUS0330"	"Clark"	"Francis"	NA	NA	NA
"ICUS0331"	"Clarke"	"William Norris"	NA	NA	NA
"ICUS0332"	"Clarnette"	"Warren"	NA	NA	NA
"ICUS0333"	"Clawson"	"Robert Marion"	NA	NA	NA
"ICUS0334"	"Clesse"	"Armand"	NA	NA	NA
"ICUS0335"	"Clube"	"Stace Victor Murray"	NA	NA	NA
"ICUS0336"	"Coates"	"Joseph Francis"	NA	NA	NA
"ICUS0337"	"Coates"	"Vary T."	NA	NA	NA
"ICUS0338"	"Coe"	"Kathryn"	NA	NA	NA
"ICUS0339"	"Coe"	"Richard M."	NA	NA	NA
"ICUS0340"	"Friedrich-Cofer"	"Lynette"	NA	NA	NA
"ICUS0341"	"Cogswell"	"Betty E."	NA	NA	NA
"ICUS0342"	"Cohen"	"Bernard Leonard"	NA	NA	NA
"ICUS0343"	"Cohen"	"Jerry J."	NA	NA	NA
"ICUS0344"	"Cohen"	"Karl P."	NA	NA	NA
"ICUS0345"	"Cohen"	"Mark Nathan"	NA	NA	NA
"ICUS0346"	"Cohn-Sherbok"	"Dan"	NA	NA	"B1945-02-01"
"ICUS0347"	"Colander"	"David Charles"	NA	NA	NA
"ICUS0348"	"Colavito"	"Maria Maddalena"	NA	NA	NA
"ICUS0349"	"Coleman"	"James Samuel"	"B1926-05-12"	"B1926-05-12"	NA
"ICUS0350"	"Collinson"	"John"	NA	NA	NA
"ICUS0351"	"Comănescu"	"Dan Cristian"	NA	NA	NA
"ICUS0352"	"Constandse"	"Adriaan Kees"	NA	NA	NA
"ICUS0353"	"Cook"	"Stephen L."	NA	NA	NA
"ICUS0354"	"Cooke"	"Brett"	NA	NA	NA
"ICUS0355"	"Cooper"	"James"	NA	NA	NA
"ICUS0356"	"Cooper"	"John W."	NA	NA	NA
"ICUS0357"	"Cooper"	"Leon Neil"	"B1930-02-28"	"B1930-02-28"	"B1930-02-28"
"ICUS0358"	"Copleston"	"Frederick Charles"	NA	"B1907-04-10"	NA
"ICUS0359"	"Cori"	"Carl Ferdinand"	"B1896-12-05"	NA	NA
"ICUS0360"	"Corson"	"Samuel Abraham"	NA	NA	NA
"ICUS0361"	"Cosijn"	"Gustaat P.A."	NA	NA	NA
"ICUS0362"	"Costa"	"Rubens Vaz da"	NA	NA	NA
"ICUS0363"	"Coughlan"	"Michael J."	NA	NA	NA
"ICUS0364"	"Coulomb"	"Jean"	"B1904-11-07"	"B1904-11-07"	"B1904-11-07"
"ICUS0365"	"Cournand"	"André Frédréric"	"B1895-09-24"	"B1895-09-24"	NA
"ICUS0366"	"Courtney"	"Charles"	NA	NA	NA
"ICUS0367"	"Cousineau Brutsche"	"Diane"	NA	NA	NA
"ICUS0368"	"Cousins"	"Ewert Hilary"	NA	NA	NA
"ICUS0369"	"Covian"	"Miguel Rolando"	NA	NA	NA
"ICUS0370"	"Covian"	"Roberto C."	NA	NA	NA
"ICUS0371"	"Cowan"	"James W."	NA	NA	NA
"ICUS0372"	"Cowan"	"Thomas Anthony"	NA	NA	NA
"ICUS0373"	"Cowen"	"Zelman"	NA	"B1919-10-07"	"B1919-10-07"
"ICUS0374"	"Cox"	"Gary"	NA	NA	NA
"ICUS0375"	"Cragg"	"Albert Kenneth"	NA	NA	NA
"ICUS0376"	"Crawford"	"S. Cromwell"	NA	NA	NA
"ICUS0377"	"Crawford Jr."	"Bryce Low"	"B1914-11-27"	"B1914-11-27"	"B1914-11-27"
"ICUS0378"	"Christian"	"Jane M."	NA	NA	NA
"ICUS0379"	"Criswell"	"David R."	NA	NA	NA
"ICUS0380"	"Crombie"	"Alistair Cameron"	NA	NA	NA
"ICUS0381"	"Cromwell"	"Norman H."	NA	NA	NA
"ICUS0382"	"Crosson"	"Frederick James"	NA	NA	NA
"ICUS0383"	"Crosthwaite"	"Roger"	NA	NA	NA
"ICUS0384"	"Csányi"	"Vilmos"	NA	NA	NA
"ICUS0385"	"Cuadra"	"Héctor"	NA	NA	NA
"ICUS0386"	"Cummings"	"Leslie P."	NA	NA	NA
"ICUS0387"	"Cummings"	"William K."	NA	NA	NA
"ICUS0388"	"Curzon-Price"	"Victoria"	NA	NA	NA
"ICUS0389"	"da Fonseca"	"José Simões"	NA	NA	NA
"ICUS0390"	"Dagum"	"Camilo"	NA	NA	NA
"ICUS0391"	"Dahl"	"Helmer H."	NA	NA	NA
"ICUS0392"	"Dalisay"	"Amando M."	NA	NA	NA
"ICUS0393"	"Damman"	"Sigrid"	NA	NA	NA
"ICUS0394"	"Danaraj"	"T. J."	NA	NA	NA
"ICUS0395"	"Danielli"	"James Frederic"	NA	NA	NA
"ICUS0396"	"D'Antonio"	"William V."	NA	NA	NA
"ICUS0397"	"Daudel"	"Raymond"	NA	NA	NA
"ICUS0398"	"Daugs"	"Donald Roger"	NA	NA	NA
"ICUS0399"	"Dave"	"Ravindra"	NA	NA	NA
"ICUS0400"	"David"	"Henry"	NA	NA	NA
"ICUS0401"	"David"	"William"	NA	NA	NA
"ICUS0402"	"Davies"	"Christie"	NA	NA	NA
